RevisionID:,0106.0036.0012.0002.0022
File Name:,HC900-C75S Rev 7.2x : WEB_SIS_241224 *
Controller Name,WEBSIS
Title:,
Author:,
Created Date:,2/14/2005 7:38:48 AM
Modified Date:,12/24/2024 5:25:30 AM

Report Title:,Modbus Signal Tags and Variables Report [Process & Safety]

Hex Addr,Dec Addr,Tag Name,Description,Type,#,Data Type,EU,Decimal Places,Tag Type,'On' Label,'Off' Label,Initial/Source
0x19B4,6581,PZIT-W202B_HH_V,,Variable,123,float 32,,0,Analog, , ,100.00
0x19B6,6583,PZIT-W202B_RL,,Variable,124,float 32,,0,Analog, , ,0.00
0x19B8,6585,PZIT-W202B_RH,,Variable,125,float 32,,0,Analog, , ,100.00
0x19BA,6587,PZIT-W202B,,Variable,126,float 32,,0,Analog, , ,0.00
0x19BC,6589,PZIT-W203B,,Variable,127,float 32,,0,Analog, , ,0.00
0x19BE,6591,PZIT-W203B_RH,,Variable,128,float 32,,0,Analog, , ,100.00
0x19C0,6593,PZIT-W203B_RL,,Variable,129,float 32,,0,Analog, , ,0.00
0x19C2,6595,PZIT-W203B_HH_V,,Variable,130,float 32,,0,Analog, , ,100.00
0x19C4,6597,PZIT-W203B_LL_V,,Variable,131,float 32,,0,Analog, , ,0.00
0x19C6,6599,PZIT-W203B_DELAY,,Variable,132,float 32,,1,Analog, , ,0.00
0x19C8,6601,PZIT-W203B_ACK,Acknowledge,Variable,133,float 32, , ,Digital,ON,OFF,OFF
0x19CA,6603,PZIT-W203B_MANON,,Variable,134,float 32, , ,Digital,ON,OFF,OFF
0x19CC,6605,PZIT-W203B_MOS,,Variable,135,float 32, , ,Digital,ON,OFF,OFF
0x19CE,6607,PZIT-W208B,,Variable,136,float 32,,0,Analog, , ,0.00
0x19D0,6609,PZIT-W208B_RH,,Variable,137,float 32,,0,Analog, , ,150.00
0x19D2,6611,PZIT-W208B_RL,,Variable,138,float 32,,0,Analog, , ,0.00
0x19D4,6613,PZIT-W208B_HH_V,,Variable,139,float 32,,0,Analog, , ,109.00
0x19D6,6615,PZIT-W208B_LL_V,,Variable,140,float 32,,0,Analog, , ,0.00
0x19D8,6617,PZIT-W208B_DELAY,,Variable,141,float 32,,1,Analog, , ,0.00
0x19DA,6619,PZIT-W208B_ACK,Acknowledge,Variable,142,float 32, , ,Digital,ON,OFF,OFF
0x19DC,6621,PZIT-W208B_MANON,,Variable,143,float 32, , ,Digital,ON,OFF,OFF
0x19DE,6623,PZIT-W208B_MOS,,Variable,144,float 32, , ,Digital,ON,OFF,OFF
0x19E0,6625,PZIT-W207B,,Variable,145,float 32,,0,Analog, , ,0.00
0x19E2,6627,PZIT-W207B_RH,,Variable,146,float 32,,0,Analog, , ,150.00
0x19E4,6629,PZIT-W207B_RL,,Variable,147,float 32,,0,Analog, , ,0.00
0x19E6,6631,PZIT-W207B_HH_V,,Variable,148,float 32,,0,Analog, , ,100.00
0x19E8,6633,PZIT-W207B_LL_V,,Variable,149,float 32,,0,Analog, , ,50.00
0x19EA,6635,PZIT-W207B_DELAY,,Variable,150,float 32,,1,Analog, , ,0.00
0x19EC,6637,PZIT-W207B_ACK,Acknowledge,Variable,151,float 32, , ,Digital,ON,OFF,OFF
0x19EE,6639,PZIT-W207B_MANON,,Variable,152,float 32, , ,Digital,ON,OFF,OFF
0x19F0,6641,PZIT-W207B_MOS,,Variable,153,float 32, , ,Digital,ON,OFF,OFF
0x19F2,6643,LZIT-605C,,Variable,154,float 32,,0,Analog, , ,0.00
0x19F4,6645,LZIT-605C_RH,,Variable,155,float 32,,0,Analog, , ,950.00
0x19F6,6647,LZIT-605C_RL,,Variable,156,float 32,,0,Analog, , ,150.00
0x19F8,6649,LZIT-605C_HH_V,,Variable,157,float 32,,0,Analog, , ,800.00
0x19FA,6651,LZIT-605C_LL_V,,Variable,158,float 32,,0,Analog, , ,0.00
